Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	9810	Ohtani, Shohei	LAD	UT, P	1.19	1	4		1450		
2	10711	Skubal, Tarik	DET	P	7.34	2	21		1450		
3	11885	Skenes, Paul	PIT	P	11.05	2	29		1450		
4	10900	Crochet, Garrett	BOS	P	12.62	4	28		1450		
5	11883	Yamamoto, Yoshinobu	LAD	P	27.22	10	76		1450		
6	10770	Sanchez, Cristopher	PHI	P	30.21	12	66		1450		
7	11787	Miller, Mason	SD	P	37.24	12	124		1450		
8	9376	Diaz, Edwin	LAD	P	38.31	14	116		1450		
9	11435	Brown, Hunter	HOU	P	38.79	17	83		1450		
10	10712	Gilbert, Logan	SEA	P	39.85	19	87		1450		
11	11800	Woo, Bryan	SEA	P	41.26	16	83		1450		
12	7887	Sale, Chris	ATL	P	43.10	14	97		1450		
13	10134	Munoz, Andres	SEA	P	45.84	13	128		1450		
14	11982	Smith, Cade	CLE	P	48.07	19	137		1450		
15	10239	Duran, Jhoan	PHI	P	48.35	19	144		1450		
16	8784	deGrom, Jacob	TEX	P	54.14	23	124		1450		
17	8704	Fried, Max	NYY	P	55.42	31	105		1450		
18	10166	Ragans, Cole	KC	P	55.82	25	120		1450		
19	10480	Webb, Logan	SF	P	59.34	26	104		1450		
20	9915	Peralta, Freddy	NYM	P	63.32	28	139		1450		
21	10681	Bednar, David	NYY	P	67.66	28	186		1450		
22	7709	Chapman, Aroldis	BOS	P	69.34	27	196		1450		
23	10874	Kirby, George	SEA	P	71.61	39	139		1450		
24	10665	Williams, Devin	NYM	P	72.82	30	233		1450		
25	10786	Ryan, Joe	MIN	P	76.82	28	157		1450		
26	10191	Cease, Dylan	TOR	P	79.81	38	141		1450		
27	10235	Luzardo, Jesus	PHI	P	80.34	32	146		1450		
28	11099	Bradish, Kyle	BAL	P	81.93	48	149		1450		
29	10083	Valdez, Framber	DET	P	90.45	52	148		1450		
30	11591	Perez, Eury	MIA	P	91.71	41	189		1450		
31	9570	Pivetta, Nick	SD	P	97.88	43	150		1450		
32	12443	McLean, Nolan	NYM	P	99.35	12	190		1450		
33	9492	Hader, Josh	HOU	P	101.45	33	378		1450		
34	10321	Helsley, Ryan	BAL	P	105.32	34	312		1450		
35	8981	Iglesias, Raisel	ATL	P	106.69	42	263		1450		
36	9294	Estevez, Carlos	KC	P	111.37	41	382		1450		
37	11300	Strider, Spencer	ATL	P	114.08	54	369		1450		
38	8427	Gausman, Kevin	TOR	P	119.07	80	176		1450		
39	12193	Burns, Chase	CIN	P	121.69	56	261		1450		
40	8975	Hoffman, Jeff	TOR	P	123.47	47	305		1450		
41	8700	Glasnow, Tyler	LAD	P	126.29	65	257		1450		
42	9328	Snell, Blake	LAD	P	128.47	38	458		1450		
43	11894	Misiorowski, Jacob	MLW	P	129.99	68	249		1450		
44	11821	Palencia, Daniel	CHC	P	130.78	50	334		1450		
45	10634	Fairbanks, Pete	MIA	P	132.28	60	320		1450		
46	9652	Pagan, Emilio	CIN	P	133.94	46	344		1450		
47	8546	Gray, Sonny	BOS	P	134.13	79	232		1450		
48	10964	Lodolo, Nick	CIN	P	134.33	91	270		1450		
49	11811	Sheehan, Emmet	LAD	P	134.94	64	263		1450		
50	12361	Schlittler, Cam	NYY	P	134.97	50	257		1450		
51	9678	Woodruff, Brandon	MLW	P	136.07	42	267		1450		
52	8235	Wheeler, Zack	PHI	P	136.60	34	344		1450		
53	11059	Pepiot, Ryan	TB	P	137.76	77	232		1450		
54	10289	King, Michael	SD	P	139.67	77	245		1450		
55	10216	Greene, Hunter	CIN	P	140.59	17	498		1308		
56	10804	Megill, Trevor	MLW	P	144.93	49	369		1450		
57	7931	Jansen, Kenley	DET	P	145.20	61	352		1450		
58	8130	Eovaldi, Nathan	TEX	P	152.84	56	259		1450		
59	9754	Alcantara, Sandy	MIA	P	153.36	93	221		1450		
60	10807	Rasmussen, Drew	TB	P	154.70	62	261		1450		
61	11590	Williams, Gavin	CLE	P	155.08	81	259		1450		
62	12035	Chandler, Bubba	PIT	P	163.39	91	268		1450		
63	10351	Rogers, Trevor	BAL	P	164.74	26	264		1450		
64	8775	Ray, Robbie	SF	P	165.73	78	248		1450		
65	9917	Santana, Dennis	PIT	P	167.33	57	376		1450		
66	9506	Castillo, Luis	SEA	P	168.95	95	256		1450		
67	11884	Imanaga, Shota	CHC	P	172.80	75	261		1450		
68	12463	Yesavage, Trey	TOR	P	172.81	103	391		1450		
69	12471	Imai, Tatsuya	HOU	P	173.27	77	389		1450		
70	11664	Uribe, Abner	MLW	P	177.41	76	398		1450		
71	11794	Walker, Ryan	SF	P	183.18	86	413		1450		
72	9840	Suarez, Ranger	BOS	P	186.21	92	257		1450		
73	9973	Gore, MacKenzie	TEX	P	187.73	98	280		1450		
74	11595	Bibee, Tanner	CLE	P	189.59	104	260		1450		
75	10721	Cabrera, Edward	CHC	P	192.57	107	297		1450		
76	11886	Horton, Cade	CHC	P	194.56	109	297		1450		
77	11407	Suarez, Robert	ATL	P	199.65	37	434		1443		
78	10331	Baz, Shane	BAL	P	200.86	118	289		1450		
79	11218	Jax, Griffin	TB	P	202.62	88	441		1448		
80	8942	Rodon, Carlos	NYY	P	206.14	49	404		1450		
81	8961	Nola, Aaron	PHI	P	211.61	124	277		1450		
82	10933	Bubic, Kris	KC	P	211.93	118	305		1449		
83	9750	Flaherty, Jack	DET	P	222.15	126	295		1450		
84	11802	Abbott, Andrew	CIN	P	224.23	128	295		1450		
85	9944	Gallen, Zac	ARZ	P	224.77	114	299		1450		
86	10332	McClanahan, Shane	TB	P	224.92	106	376		1448		
87	9087	Boyd, Matthew	CHC	P	227.17	75	297		1450		
88	10381	Abreu, Bryan	HOU	P	237.41	99	470		1439		
89	11327	Leiter, Jack	TEX	P	248.05	155	338		1448		
90	10506	Kelly, Merrill	ARZ	P	256.11	155	385		1448		
91	10038	Bieber, Shane	TOR	P	257.01	91	492		1353		
92	11940	Sasaki, Roki	LAD	P	259.80	71	454		1448		
93	9248	Musgrove, Joe	SD	P	263.48	166	476		1394		
94	11326	Nelson, Ryne	ARZ	P	263.92	162	356		1450		
95	12459	Early, Connelly	BOS	P	264.62	143	495		1443		
96	8231	Cole, Gerrit	NYY	P	265.31	126	506		1429		
97	12305	Smith, Shane	CWS	P	267.50	142	397		1444		
98	11636	Miller, Bryce	SEA	P	268.45	133	471		1426		
99	12201	Cameron, Noah	KC	P	274.97	167	398		1443		
100	11182	Senga, Kodai	NYM	P	276.01	74	378		1408		
101	10159	Mize, Casey	DET	P	276.27	178	380		1445		
102	10325	Weathers, Ryan	NYY	P	282.57	172	415		1361		
103	11999	Ashcraft, Braxton	PIT	P	285.67	173	430		1375		
104	10401	Cantillo, Joey	CLE	P	287.53	178	405		1433		
105	11162	O'Brien, Riley	STL	P	288.05	172	532		1409		
106	11823	Garcia, Robert	TEX	P	288.87	29	639		1387		
107	9838	Dominguez, Seranthony	CWS	P	293.88	88	748		1245		
108	10774	Ponce, Cody	TOR	P	298.64	183	646		1372		
109	11619	Burrows, Mike	HOU	P	300.21	142	599		1352		
110	12096	Schwellenbach, Spencer	ATL	P	305.18	55	719		1025		
111	10207	Rodriguez, Grayson	LAA	P	306.18	199	541		1357		
112	12238	Henderson, Logan	MLW	P	307.00	151	489		1366		
113	9876	Lopez, Pablo	MIN	P	310.64	63	577		663		
114	8666	Manaea, Sean	NYM	P	312.02	220	511		1347		
115	12215	Messick, Parker	CLE	P	313.45	173	449		1395		
116	11131	Priester, Quinn	MLW	P	320.72	195	565		1250		
117	11898	Warren, Will	NYY	P	320.76	189	448		1386		
